Order,No.,Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Density of Water (kg/m^3),Viscosity of Water,Surface Tension of Water (N/m),Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Final Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Initial Spread,Do (m),Aspect Ratio,Droplet Velocity [m/s],Droplet Diameter [mm],Height [level],Modified Aspect Ratio,Weber #
1,r1,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.4,1.578947368,1.578947368,7.368421053,7.368421053,0,0,18.1991618,314,0.025,1.447368421,0.8552631579,0,2.776497696,4.688940092,3.352534562,4.688940092,4.514202536,02/09/2023,r5_E1_3_1,997.77,0.001,0.0728,"E, W",E,W,JLRS,350,483,5.921052632,0.002590245469,0.5798319328,0.2402649178,2.590245469,1,0.1868855686,2.049371581
2,r2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.6,1.587837838,1.587837838,8.378378378,8.412162162,0,0,20.49046541,575,0.025,2.601351351,0.8783783784,0,10.94470046,13.57142857,13.52534562,13.57142857,15.20374891,02/09/2023,r5_E1_3_2,997.77,0.001,0.0728,"E, W",E,W,JLRS,350,483,5.777027027,0.002694683325,0.5798319328,0.2405241997,2.694683325,1,0.1796424436,2.136605559
3,r3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.7,1.582491582,1.919191919,7.508417508,7.542087542,0,0,20.05738079,247,0.025,3.164983165,0.3367003367,0,1.707373272,2.122119816,1.569124424,,3.222381529,02/09/2023,r5_E1_3_3,997.77,0.001,0.0728,"E, W",E,W,JLRS,350,483,4.343434343,0.002675563117,0.5798319328,0.2560896585,2.675563117,1,0.1809262111,2.404907325
4,r4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.2,2.913907285,2.913907285,5.562913907,5.860927152,0.06622516556,0,22.25528316,281,0.3980852455,1.158940397,0.8609271523,,,,,,,01/26/2023,r5_E1_4_1,997.77,0.001,0.0728,"E, W",E,W,NR,350,650,4.40397351,0.002769926012,0.65,0.2732389201,2.769926012,1,0.2351877764,2.834342649
5,r5,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.3,2.871287129,2.871287129,5.676567657,5.742574257,0,0,21.44175568,192,0.07555760802,2.04620462,1.056105611,0,0.5391705069,2.612903226,1.147465438,,2.282344554,02/01/2023,r5_E1_4_2,997.77,0.001,0.0728,"E, W",E,W,NR,350,650,3.630363036,0.002735755252,0.65,0.2881816662,2.735755252,1,0.2381253729,3.113931108
6,r6,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.4,2.959183673,2.959183673,5.816326531,5.850340136,0,0,22.97744534,166,0.04856823504,2.040816327,1.12244898,0,0.6820276498,4.442396313,1.124423963,,0.8872623557,02/01/2023,r5_E1_4_3,997.77,0.001,0.0728,"E, W",E,W,NR,350,650,3.775510204,0.002799568132,0.65,0.2866097787,2.799568132,1,0.2326975836,3.151897687
7,r7,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.3,3.135313531,3.894389439,3.333333333,3.696369637,0,0,13.01463459,99,0.1482516325,1.650165017,0.4290429043,0,13.92857143,11.78571429,3.629032258,,0.8047706897,03/10/2023,r5_E1_5_1,997.77,0.001,0.0728,"E, W",E,W,DLRS,350,1078,1.683168317,0.002316333671,0.7549019608,0.310686241,2.316333671,1,0.4664307764,3.064391325
8,r8,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31.2,2.628205128,2.628205128,4.358974359,4.903846154,0,0,20.98210205,126,0.1063274972,1.378205128,0.9294871795,0,0.8928571429,7.1140553,1.987327189,,0.5855069985,03/10/2023,r5_E1_5_2,997.77,0.001,0.0728,"E, W",E,W,DLRS,350,1078,2.980769231,0.002716064791,0.7549019608,0.2271821348,2.716064791,1,0.3977848085,1.921266192
9,r9,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30,2.733333333,3.1,4.266666667,5.5,0,0,24.49643309,136,0.06526304762,1.3,0,0,2.806451613,6.622119816,1.755760369,,0.9724015685,03/10/2023,r5_E1_5_3,997.77,0.001,0.0728,"E, W",E,W,DLRS,350,1078,2.966666667,0.002859947612,0.7549019608,0.225487909,2.859947612,1,0.3777724138,1.992983297
10,r10,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.6,1.296296296,1.296296296,6.074074074,6.407407407,1,0.8518518519,7.766642721,47,0.03792831924,1.296296296,0,,1.373847926,5.054723502,12.62384793,,7.619681192,02/25/2024,r5_E1_6_1,997.77,0.001,0.0728,"D, W",D,W,JLRD,350,761,4.777777778,0.002598952359,0.6849684968,0.3128754829,2.598952359,1,0.2934647187,3.486907663
